"question_id","chapter","topic","question","A","B","C","D","correct_letter (fill A/B/C/D)"
"511105","Probability","Multiplication Theorem on Probability (XII-13.2)","Before a race, the chances of three runners A, B and C were estimated to be proportional to 5 : 3 : 2, but during the race, A meets with an accident which reduces his chance to \frac {1}{3} . The respective choices of B and C now winning are:","\frac{3}{10}, \frac{2}{10}","\frac{3}{5}, \frac{2}{5}","\frac{2}{5}, \frac{4}{15}","\frac{7}{15}, \frac{2}{15}",""
"523644","Probability","Multiplication Theorem on Probability (XII-13.2)","A taxi was involved in a hit-and-run accident at night. There are two taxi companies in the city, namely Black Taxis and White Taxis. It is known that 85% of the taxis in the city are Black and 15% are White. There was a witness to the accident and according to the witness, the taxi involved in the accident was White. Further investigation of the reliability of the witness showed that, the witness was able to identify correctly the colour of a taxi, 80% of the time. The probability that the taxi involved was Black, is:","\frac{12}{29}","\frac{17}{29}","\frac{14}{29}","\frac{15}{29}",""
"529408","Probability","Multiplication Theorem on Probability (XII-13.2)","I alternately toss a fair coin and a fair die, until I, either toss head or throw the face two. If I toss the coin first, the probability that I throw the face two before I toss head, is:","\frac {1}{7}","\frac {5}{7}","\frac {5}{12}","\frac {7}{12}",""
"1058416","Probability","Multiplication Theorem on Probability (XII-13.2)","Let S = {w 1 , w 2 ,...} be the sample space associated to a random experiment. Let P(w n ) = \frac{\text P\left(\text w_{\text n-1}\right)}{2} , n \geq 2. Let A = {2k + 3 \ell ; k, \ell \in N} and n B = {w n ; n \in A}. Then P(B) is equal to","\frac {1}{32}","\frac {1}{16}","\frac {3}{32}","\frac {3}{64}",""
"1059382","Probability","Multiplication Theorem on Probability (XII-13.2)","A bag contains 6 balls. Two balls are drawn from it at random and both are found to be black. The probability that the bag contains at least 5 black balls is","\frac37","\frac27","\frac56","\frac57",""
"19483","Probability","Independent Events (XII-13.2)","Let A and B be two independent events. The probability that both A and B occur is \frac {1}{12} and the probability that neither A nor B occurs is \frac 12 . The respective probabilities of A and B are","none of thse","\frac 1 6 and \frac 1 2","\frac{1}{3} and \frac{1}{4} or \frac{1}{4} and \frac{1}{3}","\frac 12 and \frac{1}{6}",""
"19485","Probability","Independent Events (XII-13.2)","India plays two matches each with West Indies and Australia. In any match the probabilities of India getting points 0, 1 and 2 are 0.45, 0.5 and 0.5 respectively. Assuming that the outcomes are independent, the probability of India getting atleast 7 points is","\frac {1}{16}","0.8750","0.525","0.1125",""
"19509","Probability","Independent Events (XII-13.2)","Two persons A and B appear in an interview for two vacancies. If the probabilities of their selection are \frac 14 and \frac 16 respectively, then the probability that none of them is selected is","\frac 5 8","\frac {5}{12}","\frac {1}{24}","\frac {19}{12}",""
"230752","Probability","Independent Events (XII-13.2)","If E and F are events with P(E) \leq P(F) and P(E \cap F)>0 , then which one is not correct?","non-occurrence of E \Rightarrow non-occurrence of F","non-occurrence of E \Rightarrow occurrence of F","occurrence of E \Rightarrow occurrence of F","occurrence of F \Rightarrow occurrence of E",""
"230781","Probability","Independent Events (XII-13.2)","Four persons can hit a target correctly with probabilities \frac{1}{2}, \frac{1}{3}, \frac{1}{4} and \frac{1}{8} respectively. If all hit at the target independently, then the probability that the target would be hit, is","\frac{25}{192}","\frac{25}{32}","\frac{7}{32}","\frac{1}{192}",""
"230800","Probability","Independent Events (XII-13.2)","An unbiased coin is tossed. If the outcome is a head, then a pair of unbiased dice is rolled and the sum of the numbers obtained on them is noted. If the toss of the coin results in tail, then a card from a well-shuffled pack of nine cards numbered 1, 2, 3, ..., 9 is randomly picked and the number on the card is noted. The probability that the noted number is either 7 or 8 is","\frac{13}{36}","\frac{19}{36}","\frac{19}{72}","\frac{15}{72}",""
"230806","Probability","Independent Events (XII-13.2)","Let two fair six-faced dice A and B be thrown simultaneously. If E 1 is the event that die A shows up four, E 2 is the event that die B shows up two and E 3 is the event that the sum of numbers on both dice is odd, then which of the following statements is not true?","E 1 and E 3 are independent","E 2 and E 3 are independent","E 1 , E 2 and E 3 are independent","E 1 and E 2 are independent",""
"230817","Probability","Independent Events (XII-13.2)","Let A and B be two events such that P(\overline{A \cup B})=\frac{1}{6} , P(A \cap B)=\frac{1}{4} and P(\bar{A})=\frac{1}{4} , where \bar{A} stands for the complement of the event A. Then, the events A and B are","mutually exclusive and independent","independent and equally likely","equally likely but not independent","independent but not equally likely",""
"230820","Probability","Independent Events (XII-13.2)","Four persons independently solve a certain problem correctly with probabilities \frac{1}{2}, \frac{3}{4}, \frac{1}{4}, \frac{1}{8} . Then, the probability that the problem is solved correctly by atleast one of them, is","\frac{3}{256}","\frac{253}{256}","\frac{235}{256}","\frac{21}{256}",""
"230825","Probability","Independent Events (XII-13.2)","An experiment has 10 equally likely outcomes. Let A and B be two non-empty events of the experiment. If A consists of 4 outcomes, then the number of outcomes that B must have, so that A and B are independent, is","5 or 10","2, 4 or 8","4 or 8","3, 6 or 9",""
"230829","Probability","Independent Events (XII-13.2)","Let E c denotes the complement of an event E. If E, F, G are pairwise independent events with P (G) > 0 and P(E \cap F \cap G)=0 . Then, P\left(E^{c} \cap F^{c} | G\right) equals","P(E c ) - P(F c )","P(E) - P(F c )","P(E c ) - P(F)","P(E c ) + P(F c )",""
"230837","Probability","Independent Events (XII-13.2)","A fair die is rolled. The probability that the first time 1 occurs at the even throw, is","6/11","1/6","5/36","5/11",""
"230845","Probability","Independent Events (XII-13.2)","A fair coin is tossed repeatedly. If tail appears on first four tosses, then the probability of head appearing on fifth toss equals","\frac{1}{2}","\frac{1}{5}","\frac{31}{32}","\frac{1}{32}",""
"230847","Probability","Independent Events (XII-13.2)","If from each of the three boxes containing 3 white and 1 black, 2 white and 2 black, 1 white and 3 black balls, one ball is drawn at random, then the probability that 2 white and 1 black balls will be drawn, is","\frac{13}{32}","\frac{3}{16}","\frac{1}{4}","\frac{1}{32}",""
"230873","Probability","Independent Events (XII-13.2)","The probability that an event A happens in one trial of an experiment, is 0.4. Three independent trials of the experiments are performed. The probability that event A happens at least once, is","0.904","0.784","0.804","0.936",""
"260368","Probability","Independent Events (XII-13.2)","If A and B are independent events such that 0 < P (A) < 1 and 0 < P (B) < 1, then which of the following is not correct?","A and B are mutually exclusive","A and B are independent","A and B are independent","A and B are independent",""
"260631","Probability","Independent Events (XII-13.2)","If two events are independent, then","None of these","they must be mutually exclusive and the sum of their probabilities must be equal to 1 both are correct","they must be mutually exclusive","the sum of their probabilities must be equal to 1",""
"260636","Probability","Independent Events (XII-13.2)","If the events A and B are independent, then P(A \cap B) is equal to","P(A) / P(B)","P(A) .P(B)","P(A) P(B)","P(A) + P(B)",""
"260658","Probability","Independent Events (XII-13.2)","A and B are two students. Their chances of solving a problem correctly are \frac{1}{3} and \frac{1}{4} , respectively. If the probability of their making a common error is, \frac{1}{20} and they obtain the same answer, then the probability of their answer to be correct is","\frac{1}{12}","\frac{13}{120}","\frac{10}{13}","\frac{1}{40}",""
"264818","Probability","Independent Events (XII-13.2)","The probabilities of a student getting I, II and III division in an examination are \frac{1}{10}, \frac{3}{5} and \frac{1}{4} respectively. The probability that the student fails in the examination is","\frac{27}{100}","\frac{197}{200}","\frac{83}{100}","\frac{63}{100}",""
"264829","Probability","Independent Events (XII-13.2)","India play two matches each with West Indies and Australia. In any match the probabilities of India getting 0,1 and 2 points are 0.45, 0.05 and 0.50 respectively. Assuming that the outcomes are independent, the probability of India getting at least 7 points is","\frac1 {8}","0.1125","0.0875","\frac1 {16}",""
"264836","Probability","Independent Events (XII-13.2)","Three faces of an ordinary dice are yellow, two faces are red and one face is blue. The dice is rolled 3 times. The probability that yellow red and blue face appear in the first ,second and third throws respectively, is","\frac{1}{6}","\frac{1}{36}","\frac{1}{30}","\frac{1}{27}",""
"268595","Probability","Independent Events (XII-13.2)","A biased coin with probability p, 0 < p < 1, of heads is tossed until a head appears for the first time. If the probability that the number of tosses required is even is 2/5, then p equals","\frac {2}{5}","\frac {2}{3}","\frac {1}{3}","\frac {3}{5}",""
"268603","Probability","Independent Events (XII-13.2)","A five-digit number is written down at random. The probability that the number is divisible by 5 and no two consecutive digits are identical, is","\left(\frac{3}{5}\right)^{4}","\frac{1}{5}\left(\frac{9}{10}\right)^{3}","None of these","\frac{1}{5}",""
"270084","Probability","Independent Events (XII-13.2)","If A and B are independent events such that P(A) = 0.4, P(B) = x and P(A \cup B ) = 0.5, then x = ?","\frac{4}{5}","\frac{1}{8}","0.1","\frac{1}{6}",""
"270085","Probability","Independent Events (XII-13.2)","If A and B are events such that P(A)=\frac{1}{2}, P(B)=\frac{7}{12} and P\left(A^{\prime} \cup B^{\prime}\right)=\frac{1}{4} , then A and B are","Independent and mutually exclusive","Independent","Mutually exclusive","None of these",""
"270087","Probability","Independent Events (XII-13.2)","It is given that the probability that A can solve a given problem is \frac{3}{5} and the probability that B can solve the same problem is \frac{2}{3} . The probability that at least one of A and B can solve a problem is","\frac{2}{15}","\frac{13}{15}","\frac{2}{5}","\frac{1}{15}",""
"270088","Probability","Independent Events (XII-13.2)","The probabilities of A, B and C of solving a problem are \frac{1}{6}, \frac{1}{5} and \frac{1}{3} respectively. What is the probability that the problem is solved?","\frac{1}{3}","\frac{4}{9}","\frac{5}{9}","\frac{1}{7}",""
"270089","Probability","Independent Events (XII-13.2)","A can hit a target 4 times in 5 shots, B can hit 3 times in 4 shots, and C can hit 2 times in 3 shots. The probability that B and C hit and A does not hit is","\frac{5}{12}","\frac{2}{5}","\frac{7}{12}","\frac{1}{10}",""
"270090","Probability","Independent Events (XII-13.2)","A machine operates only when all of its three components function. The probabilities of the failures of the first, second and third component are 0.2, 0.3 and 0.5 respectively. What is the probability that the machine will fail?","0.007","0.72","0.70","0.07",""
"270097","Probability","Independent Events (XII-13.2)","If A and B are two events such that P(A \cup B)=\frac{5}{6}, P(A \cap B)=\frac{1}{3} and P(\bar{B})=\frac{1}{2} , then the events A and B are","Dependent","Mutually exclusive","Independent","Equally likely event",""
"270100","Probability","Independent Events (XII-13.2)","Two numbers are selected at random from integers 1 through 9. If the sum is even, what is the probability that both numbers are odd?","\frac{1}{6}","\frac{5}{8}","\frac{4}{9}","\frac{2}{3}",""
"270118","Probability","Independent Events (XII-13.2)","The probability that an event E occurs in one trial is 0.4. Three independent trials of the experiment are performed. What is the probability that E occurs at least once?","0.924","0.936","0.964","0.784",""
"495440","Probability","Independent Events (XII-13.2)","If A and B are independent events such that P(A) = \frac{1}{5} , P(A \cup B) = \frac{7}{10} , then what is P (\bar{B}) equal to?","\frac{2}{7}","\frac{7}{9}","\frac{3}{7}","\frac{3}{8}",""
"495450","Probability","Independent Events (XII-13.2)","A box contains 3 white and 2 black balls. Two balls are drawn at random one after the other. If the balls are not replaced, what is the probability that both the balls are black?","\frac{2}{5}","\frac{1}{5}","\frac{1}{10}","\frac{3}{5}",""
"495452","Probability","Independent Events (XII-13.2)","It has been found that, if A and B play a game 12 times, A wins 6 times, B wins 4 times and they draw twice. A and B take part in a series of 3 games. The probability that they win alternately, is","\frac{5}{12}","\frac{5}{27}","\frac{19}{27}","\frac{5}{36}",""
"495457","Probability","Independent Events (XII-13.2)","Number X is randomly selected from the set of odd numbers and Y is randomly selected from the set of even numbers of the set {1, 2, 3, 4, 5, 6, 7}. Let Z = (X + Y). What is P (Z = 5) equal to?","\frac{1}{4}","\frac{1}{6}","\frac{1}{3}","\frac{1}{2}",""
"495460","Probability","Independent Events (XII-13.2)","Number X is randomly selected from the set of odd numbers and Y is randomly selected from the set of even numbers of the set {1, 2, 3, 4, 5, 6, 7}. Let Z = (X + Y). What is P (Z = 10) equal to?","\frac{1}{2}","\frac{1}{3}","\frac{1}{5}","0",""
"495461","Probability","Independent Events (XII-13.2)","Number X is randomly selected from the set of odd numbers and Y is randomly selected from the set of even numbers of the set {1, 2, 3, 4, 5, 6, 7}. Let Z = (X + Y). What is P (Z > 11) equal to?","0","\frac{1}{6}","\frac{1}{12}","\frac{1}{4}",""
"495465","Probability","Independent Events (XII-13.2)","Number X is randomly selected from the set of odd numbers and Y is randomly selected from the set of even numbers of the set {1, 2, 3, 4, 5, 6, 7}. Let Z = (X + Y). What is P (Z is the product of two prime numbers) equal to?","\frac{1}{8}","\frac{1}{2}","\frac{1}{4}","0",""
"495483","Probability","Independent Events (XII-13.2)","Two students X and Y appeared in an examination. The probability that X will qualify for the examination is 0.05 and Y will qualify for the examination is 0.10. The probability that both will qualify for the examination is 0.02. What is the probability that only one of them will qualify for the examination?","0.14","0.15","0.12","0.11",""
"495501","Probability","Independent Events (XII-13.2)","Two men hit at a target with probabilities \frac{1}{2} and \frac{1}{3} , respectively. What is the probability that exactly one of them hits the target?","\frac{1}{6}","\frac{2}{3}","\frac{1}{2}","\frac{1}{3}",""
"495525","Probability","Independent Events (XII-13.2)","A problem in Statistics is given to three students A, B and C whose chances of solving it independently are \frac{1}{2}, \frac{1}{3} and \frac{1}{4} , respectively. The probability that the problem will be solved, is","\frac{1}{2}","\frac{11}{12}","\frac{1}{12}","\frac{3}{4}",""
"495527","Probability","Independent Events (XII-13.2)","A bag contains 4 white and 2 black balls and another bag contains 3 white and 5 black balls. If one ball is drawn from each bag, then the probability that one ball is white and one ball is black, is","\frac{1}{4}","\frac{13}{24}","\frac{2}{3}","\frac{5}{24}",""
"495542","Probability","Independent Events (XII-13.2)","An unbiased coin is tossed until the first head appears or until four tosses are completed, whichever happens, earlier. Which of the following statement(s) is/are correct? The probability that no head is observed is \frac{1}{16} . The probability that the experiment ends with three tosses is \frac{1}{8} . Select the correct answer using the code given below.","Neither i nor ii","Only i","Both i and ii","Only ii",""
"495560","Probability","Independent Events (XII-13.2)","Two independent events A and B have P(A) = \frac{1}{3} and P(B) = \frac{3}{4} . What is the probability that exactly one of the two events A or B occurs?","\frac{7}{12}","\frac{5}{12}","\frac{5}{6}","\frac{1}{4}",""
"511655","Probability","Independent Events (XII-13.2)","The probability of India winning a test match against West Indies is \frac {1}{2} . Assuming independence from match to match the probability that in a 5 match series, India's second win occurs at the 3rd test is:","\frac {2}{3}","\frac {1}{8}","\frac {1}{4}","\frac {1}{2}",""
"511678","Probability","Independent Events (XII-13.2)","There are 4 machines and it is known that exactly 2 of them are faulty. They are tested, one by one, in a random order till both the faulty machines are identified. Then the probability that only 2 tests are needed is:","\frac {1}{6}","\frac {1}{2}","\frac {1}{3}","\frac {1}{4}",""
"523759","Probability","Independent Events (XII-13.2)","A six-faced fair dice is thrown until 1 comes, then the probability that 1 comes in even no. of trials is:","\frac 1{6}","\frac 5{6}","\frac 6{11}","\frac 5{11}",""
"523772","Probability","Independent Events (XII-13.2)","Let A, B, C be three mutually independent events. Consider the two statements .S 1 and S 2 S 1 : A and B \cup C are independent S 2 : A and B \cap C are independent Then,","Only S 2 is true","Neither S 1 nor S 2 is true","Only S 1 is true","Both S 1 and S 2 are true",""
"523809","Probability","Independent Events (XII-13.2)","Two fair dice are tossed. Let x be the event that the first die shows an even number and y be the event that the second die shows an odd number. The two events x and y are:","Dependent","Independent and mutually exclusive","Mutually exclusive","None of these",""
"524137","Probability","Independent Events (XII-13.2)","Let A and B be two events such that the probability that exactly one of them occurs \frac{2}{5} is and the probability that A or B occurs is \frac{1}{2} , then the probability of both of them occur together is:","0.02","0.10","0.20","0.01",""
"524571","Probability","Independent Events (XII-13.2)","Let E C denote the complement of an event E. Let E 1 , E 2 and E 3 be any pairwise independent events with P(E 1 ) > 0 and P(E 1 \cap E 2 \cap E 3 ) = 0. Then \mathrm{P}\left(\frac {\mathrm{E}_{2}^{\mathrm{C}} \cap \mathrm{E}_{3}^{{C}} }{ {E}_{1}}\right) is equal to:","\mathrm{P}\left(\mathrm{E}_{3}^{\mathrm{C}}\right)-\mathrm{P}\left(\mathrm{E}_{2}^{\mathrm{C}}\right)","P(E 3 ) - P (\mathrm{E}_{2}^{\mathrm{C}})","P (\mathrm{E}_{2}^{\mathrm{C}}) + P(E 3 )","P\left(E^c{ }_3\right)-P\left(E_2\right)",""
"524599","Probability","Independent Events (XII-13.2)","In a box, there are 20 cards, out of which 10 are labelled as A and the remaining 10 are labelled as B. Cards are drawn at random, one after the other and with replacement, till a second A-card is obtained. The probability that the second A-card appears before the third B-card is:","\frac{11}{16}","\frac{13}{16}","\frac{15}{16}","\frac{9}{16}",""
"524623","Probability","Independent Events (XII-13.2)","Let A and B be two independent events such that P(A)=\frac{1}{3} and P(B)=\frac{1}{6} . Then, which of the following is TRUE?","P\left(\frac {A }{(A \cup B)}\right)=\frac{1}{4}","P\left(\frac A { B^{\prime}}\right)=\frac{1}{3}","P\left(\frac {A^{\prime} }{ B^{\prime}}\right)=\frac{1}{3}","P(\frac A B)=\frac{2}{3}",""
"529400","Probability","Independent Events (XII-13.2)","Events E and F are such that P(E C or F c ) = 0.25, P(E) = \frac{7}{8} and P(F) = \frac{6}{7} , then the events E and F are:","mutually exclusive","exhaustive","nothing can be said","independent",""
"535045","Probability","Independent Events (XII-13.2)","Bag I contains 5 blue and 4 pink balls. Bag II contains 6 blue and 3 pink balls. 1 ball is transferred from bag II to bag I and then a ball is drawn from bag II. The ball so drawn is found to be pink. The probability that the transferred ball is blue, is:","\frac{5}{17}","\frac{12}{17}","\frac{3}{8}","\frac{5}{8}",""
"535527","Probability","Independent Events (XII-13.2)","A bag contains 6 blue and 8 green socks. The probability when two socks pulled out, are of same colour, is:","\frac{28}{91}","\frac{43}{91}","\frac{1}{7}","\frac{15}{91}",""
"535629","Probability","Independent Events (XII-13.2)","A pair of fair dice is thrown independently 4 times. The probability of getting a score of 5 exactly twice is:","\frac{32}{81}","\frac{128}{2187}","\frac{64}{243}","\frac{16}{729}",""
"535694","Probability","Independent Events (XII-13.2)","A problem in Mathematics is given to three students A, B, C and their respective probability of solving the problem are \frac{1}{2}, \frac{1}{3} and \frac{1}{4} . Probabilities that the problem is solved is:","\frac{3}{4}","\frac{2}{3}","\frac{1}{3}","\frac{1}{2}",""
"535712","Probability","Independent Events (XII-13.2)","For any two independent events E 1 and E 2 . P\left\{\left(E_{1} \cup E_{2}\right) \cap\left(\bar{E}_{1} \cap \bar{E}_{2}\right)\right\} is:","<\frac{1}{4}","\ge \frac{1}{2}","<\frac{1}{2}",">\frac{1}{4}",""
"536128","Probability","Independent Events (XII-13.2)","Let E and F be two independent events. The probability that exactly one of them occurs is \frac{11}{25} and the probability of none of them occurring is \frac{2}{25} . If P(T) denotes the probability of occurrence of the event T, then:","P(E) = \frac{6}{5} , P(F) = \frac{1}{5}","P(E) = \frac{4}{5} , P(F) = \frac{3}{5}","P(E) = \frac{2}{5} , P(F) = \frac{1}{5}","P(E) = \frac{1}{5} , P(F) = \frac{2}{5}",""
"536142","Probability","Independent Events (XII-13.2)","A puzzle is given to five students P 1 , P 2 , P 3 , P 4 , and P 5 and their respective probabilities of solving the puzzle are \frac{1}{8}, \frac{1}{5}, \frac{1}{6}, \frac{1}{3}, \frac{1}{4} . The probability that the puzzle is solved is:","\frac{17}{24}","\frac{13}{21}","\frac{19}{21}","\frac{11}{15}",""
"1058386","Probability","Independent Events (XII-13.2)","A bag contains 6 white and 4 black balls. A die is rolled once and the number of balls equal to the number obtained on the die are drawn from the bag at random. The probability that all the balls drawn are white is:","\frac {11}{50}","\frac {9}{50}","\frac 14","\frac 15",""
"1141179","Probability","Independent Events (XII-13.2)","Given two independent events A and B such that P(A) = 0.3, P(B) = 0.6 and P(A' \cap B') is","0.9","0.28","0.18","0.1",""
"1686619","Probability","Independent Events (XII-13.2)","A coin is tossed three times. Let X denote the number of times a tail follows a head. If \mu and \sigma^{2} denote the mean and variance of X , then the value of 64\left(\mu+\sigma^{2}\right) is:","64","32","48","51",""
"1686980","Probability","Independent Events (XII-13.2)","A coin is biased so that the head is 3 times as likely to occur as tail. This coin is tossed until a head or three tails occur. If X denotes the number of tosses of the coin, then the mean of X is:","\frac{15}{16}","\frac{21}{16}","\frac{37}{16}","\frac{81}{64}",""
"1687001","Probability","Independent Events (XII-13.2)","If an unbiased die, marked with -2,-1,0,1 , 2,3 on its faces, is thrown five times, then the probability that the product of the outcomes is positive, is:","\frac{521}{2592}","\frac{27}{288}","\frac{440}{2592}","\frac{881}{2592}",""
"19469","Probability","Bayes' Theorem (XII-13.3)","In a certain town, 40% persons have brown hair, 25% have brown eyes, and 15% have both. If a person selected at random has brown hair, the chance that a person selected at random with brown hair is with brown eyes","\frac{3}{20}","\frac{3}{8}","\frac{1}{3}","\frac{2}{3}",""
"19475","Probability","Bayes' Theorem (XII-13.3)","There are 2 boxes. One box contains 3 white balls and 2 black balls. The other box contains 7 yellow balls and 3 black balls. If a box is selected at random and from it, a ball is drawn, the probability that the ball drawn is black is","\frac{7}{20}","\frac{1}{20}","\frac{1}{5}","\frac{1}{3}",""
"230881","Probability","Bayes' Theorem (XII-13.3)","A computer producing factory has only two plants T 1 and T 2 . Plant T 1 produces 20% and plant T 2 produces 80% of the total computers produced. 7% of computers produced in the factory turn out to be defective. It is known that P(computer turns out to be defective, given that it is produced in plant T 1 ) = 10P (computer turns out to be defective, given that it is produced in plant T 2 ). A computer produced in the factory is randomly selected and it does not turn out to be defective. Then, the probability that it is produced in plant T 2 , is","\frac{36}{73}","\frac{75}{83}","\frac{47}{79}","\frac{78}{93}",""
"230895","Probability","Bayes' Theorem (XII-13.3)","A signal which can be green or red with probability \frac{4}{5} and \frac{1}{5} respectively, is received by station A and then transmitted to station B. The probability of each station receiving the signal correctly is \frac{3}{4} . If the signal received at station B is green, then the probability that the original signal green is","\frac{20}{23}","\frac{3}{5}","\frac{6}{7}","\frac{9}{20}",""
"261480","Probability","Bayes' Theorem (XII-13.3)","Probability that A speaks truth is \frac{4}{5} . A coin is tossed. A reports that a head appears. The probability that actually there was head is","\frac{1}{2}","\frac{1}{5}","\frac{2}{5}","\frac{4}{5}",""
"264869","Probability","Bayes' Theorem (XII-13.3)","A speaks truth in 75% cases and B speaks truth in 80% cases. Probability that they contradict each other in a statement, is","\frac{3}{5}","\frac{2}{5}","\frac{7}{20}","\frac{13}{20}",""
"265004","Probability","Bayes' Theorem (XII-13.3)","A bag X contains 2 white and 3 black balls and another bag Y contains 4 white and 2 black balls. One bag is selected at random and a ball is drawn from it. Then, the probability of the chosen ball to be white is","\frac{14 }{ 15}","\frac8 { 15}","\frac2 {15}","\frac7 { 15}",""
"495481","Probability","Bayes' Theorem (XII-13.3)","There are 4 white and 3 black balls in a box. In another box, there are 3 white and 4 black balls. An unbiased die is rolled. If it shows a number less than or equal to 3, then a ball is drawn from the second box, otherwise from the first box. If the ball drawn is black, then the probability that the ball was drawn from the first box, is","\frac{3}{7}","\frac{1}{2}","\frac{4}{7}","\frac{6}{7}",""
"495535","Probability","Bayes' Theorem (XII-13.3)","An insurance company insured 2000 scooter drivers, 4000 car drivers and 6000 truck drivers. The probabilities of an accident involving a scooter driver, car driver, and truck driver are 0.01, 0.03, and 0.15, respectively. One of the insured persons meets with an accident. The probability that the person is a scooter driver, is","\frac{15}{52}","\frac{1}{52}","\frac{19}{52}","\frac{3}{52}",""
"511502","Probability","Bayes' Theorem (XII-13.3)","One percent of the population suffers from a certain disease. There is a blood test for this disease, and it is 99% accurate, in other words, the probability that it gives the correct answer is 0.99, regardless of whether the person is sick or healthy. A person takes the blood test, and the result says that he has the disease. The probability that he actually has the disease is:","75%","0.99%","50%","25%",""
"511595","Probability","Bayes' Theorem (XII-13.3)","3 cards are given, one of them is red on both sides, one is blue on both sides and one is blue on one side and red on the other side. One of them is chosen randomly and put on the table. It shows red colour on the upper side. The chance of the other side of the card being red is:","\frac{1}{3}","\frac{1}{2}","\frac{3}{4}","\frac{2}{3}",""
"523906","Probability","Bayes' Theorem (XII-13.3)","A box A contains 2 white, 3 red, and 2 black balls. Another box B contains 4 white, 2 red, and 3 black balls. If two balls are drawn at random, without replacement, from a randomly selected box and one ball turns out to be white while the other ball turns out to be red, then the probability that both balls are drawn from box B is:","\frac{9}{16}","\frac{7}{8}","\frac{9}{32}","\frac{7}{16}",""
"535690","Probability","Bayes' Theorem (XII-13.3)","A speaks the truth in 70% cases and B in 80% cases. The probability that they will contradict each other in describing a single event is:","0.56","0.42","0.4","0.38",""
"536143","Probability","Bayes' Theorem (XII-13.3)","A speaks truth in 84% cases and B speaks truth in 96% cases. The probability that both do not contradict each other in a statement is:","\frac{504}{625}","\frac{508}{625}","\frac{4}{625}","\frac{117}{625}",""
"536147","Probability","Bayes' Theorem (XII-13.3)","A letter has come either to NADIA or DIANA. On the envelope just two consecutive letters IA are visible. What is the probability that the letter has come to DIANA?","\frac{1}{2}","\frac{1}{4}","\frac{3}{4}","\frac{1}{8}",""
"536148","Probability","Bayes' Theorem (XII-13.3)","Suppose Amit picks a card from a pack of well-shuffled cards (excluding jokers). If he gets a spade card, he tosses a coin thrice and notes the number of tails. If he gets a card other than spade he tosses the coin twice and notes the number of tails. If he obtains only two tails, what is the probability that he gets a spade?","\frac{1}{4}","\frac{8}{13}","\frac{2}{13}","\frac{1}{3}",""
"536149","Probability","Bayes' Theorem (XII-13.3)","In a bag, blocks with letters A to Z are kept, of which one block is lost. From the remaining blocks, two blocks are drawn and both are found to be consonants. The probability that the lost block was a vowel is:","\frac{5}{24}","\frac{16}{19}","\frac{3}{19}","\frac{19}{24}",""
"1058464","Probability","Bayes' Theorem (XII-13.3)","Suppose that Box-I contains 8 red, 3 blue and 5 green balls, Box-II contains 24 red, 9 blue and 15 green balls, Box-Ill contains 1 blue, 12 green and 3 yellow balls, Box-IV contains 10 green, 16 orange and 6 white balls. A ball is chosen randomly from Box-I; call this ball b. If b is red then a ball is chosen randomly from Box-II, if b is blue then a ball is chosen randomly from Box-Ill, and if b is green then a ball is chosen randomly from Box-IV. The conditional probability of the event one of the chosen balls is white given that the event at least one of the chosen balls is green has happened, is equal to","\frac 18","\frac {3}{16}","\frac {5}{52}","\frac {15}{256}",""
"1059328","Probability","Bayes' Theorem (XII-13.3)","In a bolt factory, machines A, B and C manufacture respectively 20%, 30% and 50% of the total bolts. Of their output 3, 4 and 2 percent are respectively defective bolts. A bolt is drawn at random from the product. If the bolt drawn is found the defective, then the probability that it is manufactured by the machine C is","\frac{9}{28}","\frac{5}{14}","\frac37","\frac27",""
"1059450","Probability","Bayes' Theorem (XII-13.3)","Bag I contains 3 red, 4 black and 3 white balls and Bag II contains 2 red, 5 black and 2 white balls. One ball is transferred from Bag I to Bag II and then a ball is draw from Bag II. The ball so drawn is found to be black in colour. Then the probability, that the transferred ball is red, is:","\frac16","\frac49","\frac{3}{10}","\frac{5}{18}",""
"1059646","Probability","Bayes' Theorem (XII-13.3)","Bag A contains 2 white, 1 black and 3 red balls and bag B contains 3 black, 2 red and n white balls. One bag is chosen at random and 2 balls drawn from it at random, are found to be 1 red and 1 black. If the probability that both balls come from Bag A is \frac{6}{11} , then n is equal to","13","3","6","4",""
"1141185","Probability","Bayes' Theorem (XII-13.3)","Method in which the previously calculated probability are revised with the values of new probability is known as:","Addition Theorem","Bayes' Theorem","Convension Theorem","Updation Theorem",""
"1141191","Probability","Bayes' Theorem (XII-13.3)","Which of the formula is related to Bayes' theorem?","P\left(\frac{A}{B}\right)=\frac{P\left(\frac{B}{A}\right)}{P(B)}","P\left(\frac{A}{B}\right)=\frac{1}{P(B)}","P\left(\frac{A}{B}\right)=\frac{P(A)}{P(B)}","P\left(\frac{A}{B}\right)=\frac{P\left(\frac{B}{A}\right) \cdot P(A)}{P(B)}",""
"1141197","Probability","Bayes' Theorem (XII-13.3)","In Bayes' theorem, previous probabilities are change with new available probabilities or information, are known as:","Interior probabilities","Dependent probabilities","Posterior probabilities","Independent probabilities",""
